## INITIAL VALUES,,,,,,,,,,,,,,,,,,,
Exports,1542,mln LC/year,,3084,mln LC/year,,,,,,,,,,,,,,
Capital stocks,27880,mln LC,,,,,,,,,,,,,,,,,
Net external debt,421.9,mln USD,,,,,,,,,,,,,,,,,
Population,280.4,thous people,,,,,,,,,,,,,,,,,
Utilization,1.019,,,,,,,,,,,,,,,,,,
Consumer price inflation,0.049,,,,,,,,,,,,,,,,,,
Consumption price,1.365,,,,,,,,,,,,,,,,,,
GDP price level,1.059,,,,,,,,,,,,,,,,,,
Wage/basic consumption,21.46,,,,,,,,,,,,,,,,,,
Domestic saving target rate,0.07,,,,,,,,,,,,,,,,,,
Direct tourist contribution,2035.44,mln LC/year,,,,,,,,,,,,,,,,,
## TIME,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
personal remittances per capita,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125
remitted profits as a share of capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
## INTERMEDIATE IMPORTS,,,,,,,,,,,,,,,,,,,
mx,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
md,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
## TOURISM,,,,,,,,,,,,,,,,,,,
# Source country price level,,,,,,,,,,,,,,,,,,,
USA,1,1.022,1.044484,1.067462648,1.090946826,1.114947656,1.139476505,1.164544988,1.190164978,1.216348607,1.243108277,1.270456659,1.298406705,1.326971653,1.356165029,1.38600066,1.416492674,1.447655513,1.479503934
GBR,1,1.02,1.0404,1.061208,1.08243216,1.104080803,1.126162419,1.148685668,1.171659381,1.195092569,1.21899442,1.243374308,1.268241795,1.29360663,1.319478763,1.345868338,1.372785705,1.400241419,1.428246248
CAN,1,1.019,1.038361,1.058089859,1.078193566,1.098679244,1.11955415,1.140825679,1.162501366,1.184588892,1.207096081,1.230030907,1.253401494,1.277216123,1.301483229,1.32621141,1.351409427,1.377086206,1.403250844
CSS,1,1.027,1.054729,1.083206683,1.112453263,1.142489502,1.173336718,1.205016809,1.237552263,1.270966174,1.305282261,1.340524882,1.376719054,1.413890468,1.452065511,1.49127128,1.531535604,1.572887066,1.615355017
