## INITIAL VALUES,,,,,,,,,,,,,,,,,,,,,,,
Exports,3084,mln LC/year,,,,,,,,,,,,,,,,,,,,,
Capital stocks,27880,mln LC,,,,,,,,,,,,,,,,,,,,,
Net external debt,421.9,mln USD,,,,,,,,,,,,,,,,,,,,,
Population,280.4,thous people,,,,,,,,,,,,,,,,,,,,,
Utilization,1.019,,,,,,,,,,,,,,,,,,,,,,
CS4,0.12,0.12,0.25,0.25,0.15,0.15,0.15,0.15,0.15,0.15,,,,,,,,,,,,,
## INVESTMENT AND SAVING,,,,,,,,,,,,,,,,,,,,,,,
Base gross investment rate,0.016888,0.016888,0.016888,0.016888,0.016888,0.016888,0.016888,0.016888,0.016888,0.016888,,,0.0483,0.0483,0.0483,0.0483,0.0483,0.0483,0.0483,0.0483,0.0483,0.0483,
Depreciation rate,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,
Sensitivity to utilization,0.100756,0.100756,0.100756,0.100756,0.100756,0.100756,0.100756,0.100756,0.100756,0.100756,,,,,,,,,,,,,
Sensitivity to debt,0.017228,0.017228,0.017228,0.017228,0.017228,0.017228,0.017228,0.017228,0.017228,0.017228,,,,,,,,,,,,,
Interest rate on debt,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,0.07,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
NOT USED,,,,,,,,,,,,,,,,,,,,,,,
Reference debt-to-GDP level,1.88984,1.88984,1.88984,1.88984,1.88984,1.88984,1.88984,1.88984,1.88984,1.88984,,,,,,,,,,,,,
## PRICES,,,,,,,,,,,,,,,,,,,,,,,
Exchange rate,2,2,2,2,2,2,2,2,2,2,,gr,,,,,,,,,,,
Consumer price inflation offset,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Price level - investment,0.53,0.585162826,0.646067043,0.713310219,0.78755212,0.869521177,0.96002164,1.059941463,1.170261022,1.292062729,,0.02,,0.626943706,0.720938328,0.805776688,0.87520063,0.923645664,0.946968874,0.970881025,0.995396988,1.020532009,
Price level - imports,0.78,0.861183026,0.950815648,1.049777304,1.159038969,1.279672676,1.412862036,1.559913851,1.722270938,1.90152628,,0.02,,0.922671869,1.061003577,1.185860031,1.288031116,1.359327581,1.393652306,1.428843773,1.464923869,1.501915032,
Price level - exports,0.66,0.72869333,0.804536317,0.888273103,0.980725281,1.082799956,1.195498646,1.319927105,1.457306178,1.608983775,,0.02,,0.780722351,0.897772258,1.003420026,1.089872483,1.150200261,1.179244259,1.209021654,1.239550966,1.270851181,
## STORM DAMAGE,,,,,,,,,,,,,,,,,,,,,,,
# Return period for damage threshold,,,,,,,,,,,,,,,,,,,,,,,
CS1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
CS2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
CS3,5,5,5,3,2.5,2.5,1,1,1,1,,,,,,,,,,,,,
CS4,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
## REMITTANCES,,,,,,,,,,,,,,,,,,,,,,,
# personal remittances per capita,,,,,,,,,,,,# Growth rate,,,,,,,,,,,
CS1,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,0.98125,,0,,,,,,,,,,,
CS2,0.98125,1.057084929,1.138780685,1.226790215,1.321601475,1.423740129,1.533772466,1.652308544,1.780005564,1.91757152,,0.015,,,,,,,,,,,
CS3,0.98125,0.909831193,0.843610496,0.782209574,0.725277625,0.672489383,0.623543253,0.578159595,0.536079117,0.497061404,,-0.015,,,,,,,,,,,
CS4,0.98125,0.886972282,0.801752692,0.724720932,0.655090322,0.592149766,0.535256488,0.483829471,0.437343521,0.395323904,,-0.02,,,,,,,,,,,
# remitted profits as a share of capital,,,,,,,,,,,,,,,,,,,,,,,
CS1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
CS2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
CS3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
CS4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
mx,0.249597,0.249597,0.249597,0.249597,0.249597,0.249597,0.249597,0.249597,0.249597,0.249597,,,,,,,,,,,,,
md,0.0818973,0.0818973,0.0818973,0.0818973,0.0818973,0.0818973,0.0818973,0.0818973,0.0818973,0.0818973,,,,,,,,,,,,,
